id,party_id,pillar,section,display_order,nm,identifier,grade,tx,doc_key,first_seen,last_updated
906,4090847,P3,The gate,0,Every field cited or null,no field is filled by inference,b,built · fail-closed,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
902,4090847,P3,"Assay methods — AFO-shaped, cited",1,TruSight Oncology 500 (TSO500) Reference Guide,Doc 1000000067621 v13,c,candidate · fetch-confirmed,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
907,4090847,P3,The gate,1,"BOM carries catalog and REF codes, never a GTIN",catalog/REF ≠ GTIN · GTIN is the box barcode,b,built · no fabricated GTIN nodes,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
903,4090847,P3,"Assay methods — AFO-shaped, cited",2,TruSight One Sequencing Panel Reference Guide,Doc 15046431 v03,c,candidate · fetch-confirmed,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
908,4090847,P3,The gate,2,Doctype width gate,081627002 (9) + 001 (3) = 12,b,built · a 1-digit doctype fails the gate,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
904,4090847,P3,"Assay methods — AFO-shaped, cited",3,Illumina Stranded mRNA Prep Reference Guide,Doc 1000000124518 v02,c,candidate · fetch-confirmed,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
909,4090847,P3,The gate,3,FFPE compatibility,not stated for DNA PCR-Free Prep,e,exception · lights as a gap,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
905,4090847,P3,"Assay methods — AFO-shaped, cited",4,AFO shape,Equipment · Process · Material · Result,b,built · every field cited or null,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
910,4090847,P4,"One identity, many runtimes (the binding)",0,Durable identity,giai:081627002.<serial>,v,verified,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
914,4090847,P4,DRAGEN — how it actually ships,0,AWS AMI on f1 FPGA instances,12 regions,c,"candidate · count, not an enumeration",,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
920,4090847,P4,What the identity does NOT become,0,The cloud handle is not the identity,AMI / image id is disposable · the GIAI is not,b,built,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
911,4090847,P4,"One identity, many runtimes (the binding)",1,AWS endpoint,DRAGEN AMI on f1 FPGA instances,c,candidate · vendor-published,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
915,4090847,P4,DRAGEN — how it actually ships,1,RPM packages,el7 / el8,c,candidate · doc 200046067 v00,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
921,4090847,P4,What the identity does NOT become,1,"Region is a placement, not a root","12 regions, one identity",b,built,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
912,4090847,P4,"One identity, many runtimes (the binding)",2,Azure endpoint,DRAGEN image · West US 2,c,candidate · vendor-published,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
916,4090847,P4,DRAGEN — how it actually ships,2,Kernel drivers,el7 / el8 FPGA · dragen_drv,c,candidate · doc 200046067 v00,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
922,4090847,P4,What the identity does NOT become,2,Azure tenancy,customer-owned,slot,your console,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
913,4090847,P4,"One identity, many runtimes (the binding)",3,Your own console,customer cloud account · tenant of record,slot,your console,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
917,4090847,P4,DRAGEN — how it actually ships,3,Docker images,containerised DRAGEN,c,candidate · vendor-published,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
918,4090847,P4,DRAGEN — how it actually ships,4,Azure image,West US 2,c,candidate · single region stated,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
919,4090847,P4,DRAGEN — how it actually ships,5,Onboard DRAGEN,NextSeq 1000/2000 · 4.2.7,c,candidate · doc 200057014 v00,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
923,4090847,P5,"Typed, gated edges — how things connect to things",0,Company graph,nodes + gated edges,v,verified,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
929,4090847,P5,What a resolve returns,0,resolve(giai:081627002.11),NextSeq 550Dx System · drivers · protocol · edges,b,built,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
924,4090847,P5,"Typed, gated edges — how things connect to things",1,Illumina → LabCorp Genetics · designs-for,GLN 0860009842205 · prefix 08600098422,v,verified · read by hand,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
930,4090847,P5,What a resolve returns,1,resolve(gdti:081627002.001.401),the SiLA Feature we issued,b,built,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
925,4090847,P5,"Typed, gated edges — how things connect to things",2,Illumina designs the protocol,protocol owner · ratified,v,verified,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
931,4090847,P5,What a resolve returns,2,resolve(unknown lot),"→ EXCEPTION · no record · not a guess, not a null",e,exception,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
926,4090847,P5,"Typed, gated edges — how things connect to things",3,LabCorp Genetics executes,executing laboratory,v,verified,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
927,4090847,P5,"Typed, gated edges — how things connect to things",4,Both ends rooted,081627002 · 08600098422,v,verified,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
928,4090847,P5,"Typed, gated edges — how things connect to things",5,has_protocol · instrument → protocol,grounded-equipment binding,b,built,,2026-08-22 17:53:13.713545+07,2026-08-22 17:53:13.713545+07
171930,4153997,P1,The registration record,0,Company Name,"DIAZYME LABORATORIES, INC.",v,"verified · GUDID labeler name, verbatim, DUNS 080507219",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171931,4153997,P1,Identity board,0,Issuing agency,GS1 184,v,verified · counted across this company's own device records,,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171932,4153997,P1,The registration record,1,DUNS,080507219,v,"verified · GUDID labeler identifier, issued by Dun & Bradstreet",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171933,4153997,P1,Identity board,1,Prefix,081708902,v,"verified · cut with gcp_cut from this company's own GUDID DIs, indicator stripped, GCP Length Table 2026-02-17 · 192,979 entries. A GUDID filing attests the DI and the labeler together under 21 CFR 830 (KJ ruling 2026-08-30)",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171934,4153997,P1,The registration record,2,Website,no door resolved,slot,"slot · the url ladder resolved nothing: no usable contact email (or the domain was refused as free-mail or shared), no register website, and search discovery is not automated. QUEUED FOR CHROME — not a dead end",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171935,4153997,P1,Identity board,2,Prefix grade,rooted,v,"verified · attested path. The uniqueness guard applies where a prefix arrives with no attesting filer, and not here",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171936,4153997,P1,Identity board,3,Device records,184,v,"verified · gudid_devices.csv, DUNS 080507219",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171937,4153997,P1,Identity board,4,Distinct device models,184,v,"verified · distinct version_model, GUDID",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171938,4153997,P1,Identity board,5,Brands filed under the licence,6,v,"verified · distinct brand_name, GUDID",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171939,4153997,P1,Identity board,6,Company (PGLN),not minted,slot,"slot · a PGLN is minted, not derived. Nothing here mints",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171940,4153997,P2,"SiLA 2 driver — the voice (config, not code)",0,Pillar 2 · SiLA Drivers,0 instrument-class of 184 devices,slot,"slot · no instrument-class device is filed under this licence, so there is nothing for a driver to speak for. Products are identity and live in P1",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171941,4153997,P3,"Grounded methods — AFO-shaped, cited",0,Pillar 3 · Allotrope Workflows,no method document read,slot,"slot · a method is Equipment + Process + Material + Result with the steps page-referenced. No IFU, user guide or package insert has been read for this company",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171942,4153997,P4,"One identity, many runtimes (the binding)",0,Pillar 4 · Cloud Bindings,your console,slot,"slot · a binding is created in the customer console. ThingDaddy records it, never invents it",,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
171943,4153997,P5,"Carriers — one GIAI, every wire",0,Pillar 5 · AI Graph,0 edges asserted,slot,slot · an edge is a friending event with two real endpoints. No second endpoint has been read for this company,,2026-08-30 21:07:49.233452+07,2026-08-30 21:07:49.233452+07
